Logging console output to: logs\lunar_lander4_ddqn_20260309_003031.log
| Episode   68 | Duration:   64 steps | Reward:    -118.49 | Crashed      | Total Steps:   5001 |
| Episode   69 | Duration:   80 steps | Reward:    -103.04 | Crashed      | Total Steps:   5081 |
| Episode   70 | Duration:   92 steps | Reward:    -172.15 | Crashed      | Total Steps:   5173 |
| Episode   71 | Duration:   83 steps | Reward:    -102.99 | Crashed      | Total Steps:   5256 |
| Episode   72 | Duration:   81 steps | Reward:    -103.37 | Crashed      | Total Steps:   5337 |
| Episode   73 | Duration:   52 steps | Reward:    -100.77 | Crashed      | Total Steps:   5389 |
| Episode   74 | Duration:   57 steps | Reward:    -115.26 | Crashed      | Total Steps:   5446 |
| Episode   75 | Duration:   76 steps | Reward:    -152.13 | Crashed      | Total Steps:   5522 |
| Episode   76 | Duration:   54 steps | Reward:     -87.36 | Stabilizing  | Total Steps:   5576 |
| Episode   77 | Duration:   54 steps | Reward:    -102.40 | Crashed      | Total Steps:   5630 |
| Episode   78 | Duration:   85 steps | Reward:     -94.35 | Stabilizing  | Total Steps:   5715 |
| Episode   79 | Duration:   61 steps | Reward:    -150.39 | Crashed      | Total Steps:   5776 |
| Episode   80 | Duration:   70 steps | Reward:       0.83 | Improving    | Total Steps:   5846 |
| Episode   81 | Duration:   58 steps | Reward:     -86.53 | Stabilizing  | Total Steps:   5904 |
| Episode   82 | Duration:   72 steps | Reward:    -177.88 | Crashed      | Total Steps:   5976 |
| Episode   83 | Duration:   67 steps | Reward:    -119.36 | Crashed      | Total Steps:   6043 |
| Episode   84 | Duration:   90 steps | Reward:    -114.40 | Crashed      | Total Steps:   6133 |
| Episode   85 | Duration:   82 steps | Reward:    -241.31 | Crashed      | Total Steps:   6215 |
| Episode   86 | Duration:   61 steps | Reward:    -126.40 | Crashed      | Total Steps:   6276 |
| Episode   87 | Duration:   76 steps | Reward:    -155.84 | Crashed      | Total Steps:   6352 |
| Episode   88 | Duration:   52 steps | Reward:    -149.25 | Crashed      | Total Steps:   6404 |
| Episode   89 | Duration:   77 steps | Reward:    -182.16 | Crashed      | Total Steps:   6481 |
| Episode   90 | Duration:   61 steps | Reward:    -152.12 | Crashed      | Total Steps:   6542 |
| Episode   91 | Duration:   75 steps | Reward:    -181.73 | Crashed      | Total Steps:   6617 |
| Episode   92 | Duration:   63 steps | Reward:      -1.35 | Stabilizing  | Total Steps:   6680 |
| Episode   93 | Duration:   66 steps | Reward:    -130.66 | Crashed      | Total Steps:   6746 |
| Episode   94 | Duration:   85 steps | Reward:    -151.50 | Crashed      | Total Steps:   6831 |
| Episode   95 | Duration:   66 steps | Reward:    -116.01 | Crashed      | Total Steps:   6897 |
| Episode   96 | Duration:   67 steps | Reward:    -145.14 | Crashed      | Total Steps:   6964 |
| Episode   97 | Duration:   82 steps | Reward:    -130.90 | Crashed      | Total Steps:   7046 |
| Episode   98 | Duration:   58 steps | Reward:    -103.52 | Crashed      | Total Steps:   7104 |
| Episode   99 | Duration:   64 steps | Reward:    -143.56 | Crashed      | Total Steps:   7168 |
| Episode  100 | Duration:   86 steps | Reward:     -97.88 | Stabilizing  | Total Steps:   7254 |
Saved episode CSV: logs\lunar_lander4_ddqn_episode_summary_20260309_003032.csv
Saved plots: lunar_lander3_rewards_trend_20260309_003305.png, lunar_lander3_rewards_histogram_20260309_003305.png
