Logging console output to: logs\lunar_lander4_ddqn_20260402_202610.log
| Episode   67 | Duration:   68 steps | Reward:     -70.55 | Stabilizing  | Total Steps:   4938 |
| Episode   68 | Duration:   54 steps | Reward:     -74.08 | Stabilizing  | Total Steps:   4992 |
| Episode   69 | Duration:   91 steps | Reward:     -39.92 | Stabilizing  | Total Steps:   5083 |
| Episode   70 | Duration:   61 steps | Reward:     -46.70 | Stabilizing  | Total Steps:   5144 |
| Episode   71 | Duration:   64 steps | Reward:    -119.47 | Crashed      | Total Steps:   5208 |
| Episode   72 | Duration:   67 steps | Reward:     -70.39 | Stabilizing  | Total Steps:   5275 |
| Episode   73 | Duration:   77 steps | Reward:     -63.00 | Stabilizing  | Total Steps:   5352 |
| Episode   74 | Duration:   82 steps | Reward:    -204.07 | Crashed      | Total Steps:   5434 |
| Episode   75 | Duration:   65 steps | Reward:    -107.51 | Crashed      | Total Steps:   5499 |
| Episode   76 | Duration:   58 steps | Reward:     -21.99 | Stabilizing  | Total Steps:   5557 |
| Episode   77 | Duration:   91 steps | Reward:     -66.32 | Stabilizing  | Total Steps:   5648 |
| Episode   78 | Duration:   85 steps | Reward:     -89.92 | Stabilizing  | Total Steps:   5733 |
| Episode   79 | Duration:   64 steps | Reward:    -116.26 | Crashed      | Total Steps:   5797 |
| Episode   80 | Duration:   68 steps | Reward:    -133.37 | Crashed      | Total Steps:   5865 |
| Episode   81 | Duration:   79 steps | Reward:    -151.09 | Crashed      | Total Steps:   5944 |
| Episode   82 | Duration:   77 steps | Reward:    -209.57 | Crashed      | Total Steps:   6021 |
| Episode   83 | Duration:   92 steps | Reward:     -60.34 | Stabilizing  | Total Steps:   6113 |
| Episode   84 | Duration:   80 steps | Reward:    -151.98 | Crashed      | Total Steps:   6193 |
| Episode   85 | Duration:   56 steps | Reward:     -32.91 | Stabilizing  | Total Steps:   6249 |
| Episode   86 | Duration:   86 steps | Reward:    -140.62 | Crashed      | Total Steps:   6335 |
| Episode   87 | Duration:   66 steps | Reward:    -206.11 | Crashed      | Total Steps:   6401 |
| Episode   88 | Duration:   60 steps | Reward:    -151.40 | Crashed      | Total Steps:   6461 |
| Episode   89 | Duration:   68 steps | Reward:    -125.22 | Crashed      | Total Steps:   6529 |
| Episode   90 | Duration:   74 steps | Reward:    -150.13 | Crashed      | Total Steps:   6603 |
| Episode   91 | Duration:   58 steps | Reward:     -29.33 | Stabilizing  | Total Steps:   6661 |
| Episode   92 | Duration:   88 steps | Reward:     -51.51 | Stabilizing  | Total Steps:   6749 |
| Episode   93 | Duration:   58 steps | Reward:     -83.31 | Stabilizing  | Total Steps:   6807 |
| Episode   94 | Duration:   56 steps | Reward:     -52.23 | Stabilizing  | Total Steps:   6863 |
| Episode   95 | Duration:   65 steps | Reward:     -56.49 | Stabilizing  | Total Steps:   6928 |
| Episode   96 | Duration:   82 steps | Reward:     -78.16 | Stabilizing  | Total Steps:   7010 |
| Episode   97 | Duration:   88 steps | Reward:    -134.54 | Crashed      | Total Steps:   7098 |
| Episode   98 | Duration:   72 steps | Reward:    -109.10 | Crashed      | Total Steps:   7170 |
| Episode   99 | Duration:   68 steps | Reward:     -50.04 | Stabilizing  | Total Steps:   7238 |
| Episode  100 | Duration:   58 steps | Reward:    -108.25 | Crashed      | Total Steps:   7296 |
Saved episode CSV: logs\lunar_lander4_ddqn_episode_summary_20260402_202611.csv
Saved plots: lunar_lander3_rewards_trend_20260402_202849.png, lunar_lander3_rewards_histogram_20260402_202849.png
