episode,duration,reward,state_name,total_steps
1,111,-142.20,Crashed,111
2,87,-95.95,Stabilizing,198
3,102,-65.25,Stabilizing,300
4,78,-175.98,Crashed,378
5,62,-149.76,Crashed,440
6,68,-152.75,Crashed,508
7,69,-62.97,Stabilizing,577
8,60,-101.30,Crashed,637
9,74,-143.79,Crashed,711
10,81,-317.17,Crashed,792
11,68,-191.64,Crashed,860
12,72,-111.86,Crashed,932
13,65,-106.07,Crashed,997
14,92,-243.72,Crashed,1089
15,82,-135.60,Crashed,1171
16,96,-142.80,Crashed,1267
17,90,-116.67,Crashed,1357
18,81,-103.65,Crashed,1438
19,70,-172.99,Crashed,1508
20,70,-131.99,Crashed,1578
21,82,-113.06,Crashed,1660
22,50,-135.74,Crashed,1710
23,78,-217.02,Crashed,1788
24,61,-94.38,Stabilizing,1849
25,56,-166.89,Crashed,1905
26,64,-113.09,Crashed,1969
27,54,-98.40,Stabilizing,2023
28,75,-117.83,Crashed,2098
29,77,-151.86,Crashed,2175
30,90,-262.68,Crashed,2265
31,68,-117.37,Crashed,2333
32,72,-216.76,Crashed,2405
33,64,-139.62,Crashed,2469
34,58,-97.23,Stabilizing,2527
35,73,-131.84,Crashed,2600
36,87,-120.37,Crashed,2687
37,88,-54.88,Stabilizing,2775
38,64,-103.27,Crashed,2839
39,87,-103.80,Crashed,2926
40,63,-132.33,Crashed,2989
41,80,-125.33,Crashed,3069
42,76,-147.69,Crashed,3145
43,82,-117.32,Crashed,3227
44,59,-100.77,Crashed,3286
45,72,-142.63,Crashed,3358
46,56,-120.62,Crashed,3414
47,65,-125.15,Crashed,3479
48,88,-162.54,Crashed,3567
49,61,-105.84,Crashed,3628
50,73,-113.75,Crashed,3701
51,88,-106.85,Crashed,3789
52,61,-130.81,Crashed,3850
53,91,-155.85,Crashed,3941
54,81,-92.04,Stabilizing,4022
55,56,-115.16,Crashed,4078
56,89,-198.03,Crashed,4167
57,86,-212.50,Crashed,4253
58,72,-160.03,Crashed,4325
59,63,-76.95,Stabilizing,4388
60,95,-288.19,Crashed,4483
61,52,-110.15,Crashed,4535
62,58,-122.27,Crashed,4593
63,54,-151.13,Crashed,4647
64,72,-116.03,Crashed,4719
65,60,-147.31,Crashed,4779
66,89,-100.14,Crashed,4868
67,69,-147.25,Crashed,4937
68,64,-118.49,Crashed,5001
69,80,-103.04,Crashed,5081
70,92,-172.15,Crashed,5173
71,83,-102.99,Crashed,5256
72,81,-103.37,Crashed,5337
73,52,-100.77,Crashed,5389
74,57,-115.26,Crashed,5446
75,76,-152.13,Crashed,5522
76,54,-87.36,Stabilizing,5576
77,54,-102.40,Crashed,5630
78,85,-94.35,Stabilizing,5715
79,61,-150.39,Crashed,5776
80,70,0.83,Improving,5846
81,58,-86.53,Stabilizing,5904
82,72,-177.88,Crashed,5976
83,67,-119.36,Crashed,6043
84,90,-114.40,Crashed,6133
85,82,-241.31,Crashed,6215
86,61,-126.40,Crashed,6276
87,76,-155.84,Crashed,6352
88,52,-149.25,Crashed,6404
89,77,-182.16,Crashed,6481
90,61,-152.12,Crashed,6542
91,75,-181.73,Crashed,6617
92,63,-1.35,Stabilizing,6680
93,66,-130.66,Crashed,6746
94,85,-151.50,Crashed,6831
95,66,-116.01,Crashed,6897
96,67,-145.14,Crashed,6964
97,82,-130.90,Crashed,7046
98,58,-103.52,Crashed,7104
99,64,-143.56,Crashed,7168
100,86,-97.88,Stabilizing,7254
