episode,duration,reward,state_name,total_steps
1,82,-559.75,Crashed,82
2,104,-251.91,Crashed,186
3,62,-116.09,Crashed,248
4,71,-111.26,Crashed,319
5,87,-371.83,Crashed,406
6,62,-268.04,Crashed,468
7,82,-289.96,Crashed,550
8,89,-327.72,Crashed,639
9,86,-548.33,Crashed,725
10,80,-303.65,Crashed,805
11,69,-220.61,Crashed,874
12,95,-623.83,Crashed,969
13,55,-394.71,Crashed,1024
14,69,-126.76,Crashed,1093
15,84,-296.53,Crashed,1177
16,76,-234.73,Crashed,1253
17,53,-213.01,Crashed,1306
18,79,-399.74,Crashed,1385
19,57,-286.05,Crashed,1442
20,59,-485.80,Crashed,1501
21,99,-400.05,Crashed,1600
22,76,-514.16,Crashed,1676
23,76,-337.75,Crashed,1752
24,59,-215.18,Crashed,1811
25,83,-374.42,Crashed,1894
26,63,-227.22,Crashed,1957
27,65,-221.51,Crashed,2022
28,56,-458.02,Crashed,2078
29,75,-300.99,Crashed,2153
30,89,-115.81,Crashed,2242
31,71,-339.72,Crashed,2313
32,55,-514.81,Crashed,2368
33,80,-155.38,Crashed,2448
34,66,-345.14,Crashed,2514
35,72,-334.27,Crashed,2586
36,60,-145.60,Crashed,2646
37,56,-209.08,Crashed,2702
38,67,-247.05,Crashed,2769
39,68,-51.32,Stabilizing,2837
40,67,-344.21,Crashed,2904
41,58,-327.03,Crashed,2962
42,65,-356.13,Crashed,3027
43,64,-253.41,Crashed,3091
44,55,-201.22,Crashed,3146
45,68,-373.04,Crashed,3214
46,62,-604.23,Crashed,3276
47,79,-253.38,Crashed,3355
48,85,-336.12,Crashed,3440
49,72,-233.94,Crashed,3512
50,84,-284.86,Crashed,3596
51,85,-227.08,Crashed,3681
52,74,-317.62,Crashed,3755
53,81,-319.48,Crashed,3836
54,73,-325.48,Crashed,3909
55,55,-117.46,Crashed,3964
56,58,-525.81,Crashed,4022
57,86,-314.70,Crashed,4108
58,82,-372.73,Crashed,4190
59,59,-218.84,Crashed,4249
60,73,-361.12,Crashed,4322
61,90,-362.90,Crashed,4412
62,57,-458.08,Crashed,4469
63,61,-616.15,Crashed,4530
64,67,-277.04,Crashed,4597
65,57,-236.00,Crashed,4654
66,82,-154.02,Crashed,4736
67,93,-260.40,Crashed,4829
68,62,-230.91,Crashed,4891
69,66,-337.71,Crashed,4957
70,77,-304.07,Crashed,5034
71,57,-108.37,Crashed,5091
72,80,-352.23,Crashed,5171
73,86,-283.07,Crashed,5257
74,90,-309.03,Crashed,5347
75,59,-614.71,Crashed,5406
76,78,-294.53,Crashed,5484
77,74,-371.69,Crashed,5558
78,82,-294.30,Crashed,5640
79,56,-202.04,Crashed,5696
80,90,-253.77,Crashed,5786
81,74,-329.55,Crashed,5860
82,89,-152.05,Crashed,5949
83,63,-642.83,Crashed,6012
84,58,-314.22,Crashed,6070
85,58,-271.99,Crashed,6128
86,60,-327.08,Crashed,6188
87,74,-363.05,Crashed,6262
88,60,-564.66,Crashed,6322
89,54,-250.95,Crashed,6376
90,68,-375.42,Crashed,6444
91,66,-281.70,Crashed,6510
92,67,3.03,Improving,6577
93,58,-316.91,Crashed,6635
94,59,-256.62,Crashed,6694
95,65,-349.77,Crashed,6759
96,61,-635.37,Crashed,6820
97,57,-559.31,Crashed,6877
98,71,-336.14,Crashed,6948
99,56,-272.55,Crashed,7004
100,81,-305.45,Crashed,7085
