Logging console output to: logs\lunar_lander4_ddqn_20260309_002500.log
| Episode   68 | Duration:   62 steps | Reward:    -126.06 | Crashed      | Total Steps:   4864 |
| Episode   69 | Duration:   63 steps | Reward:    -106.23 | Crashed      | Total Steps:   4927 |
| Episode   70 | Duration:   72 steps | Reward:    -122.30 | Crashed      | Total Steps:   4999 |
| Episode   71 | Duration:   73 steps | Reward:    -144.44 | Crashed      | Total Steps:   5072 |
| Episode   72 | Duration:   56 steps | Reward:    -101.81 | Crashed      | Total Steps:   5128 |
| Episode   73 | Duration:   56 steps | Reward:    -126.28 | Crashed      | Total Steps:   5184 |
| Episode   74 | Duration:   53 steps | Reward:    -109.41 | Crashed      | Total Steps:   5237 |
| Episode   75 | Duration:   75 steps | Reward:    -134.19 | Crashed      | Total Steps:   5312 |
| Episode   76 | Duration:   81 steps | Reward:    -120.97 | Crashed      | Total Steps:   5393 |
| Episode   77 | Duration:   67 steps | Reward:    -148.08 | Crashed      | Total Steps:   5460 |
| Episode   78 | Duration:   77 steps | Reward:    -202.67 | Crashed      | Total Steps:   5537 |
| Episode   79 | Duration:   90 steps | Reward:    -173.81 | Crashed      | Total Steps:   5627 |
| Episode   80 | Duration:   81 steps | Reward:    -112.39 | Crashed      | Total Steps:   5708 |
| Episode   81 | Duration:   75 steps | Reward:    -166.07 | Crashed      | Total Steps:   5783 |
| Episode   82 | Duration:   66 steps | Reward:    -166.44 | Crashed      | Total Steps:   5849 |
| Episode   83 | Duration:   67 steps | Reward:    -155.39 | Crashed      | Total Steps:   5916 |
| Episode   84 | Duration:   79 steps | Reward:    -115.74 | Crashed      | Total Steps:   5995 |
| Episode   85 | Duration:   53 steps | Reward:    -112.12 | Crashed      | Total Steps:   6048 |
| Episode   86 | Duration:   56 steps | Reward:    -121.60 | Crashed      | Total Steps:   6104 |
| Episode   87 | Duration:   55 steps | Reward:    -127.93 | Crashed      | Total Steps:   6159 |
| Episode   88 | Duration:   88 steps | Reward:    -115.60 | Crashed      | Total Steps:   6247 |
| Episode   89 | Duration:   54 steps | Reward:    -132.03 | Crashed      | Total Steps:   6301 |
| Episode   90 | Duration:   71 steps | Reward:    -189.87 | Crashed      | Total Steps:   6372 |
| Episode   91 | Duration:   84 steps | Reward:    -159.28 | Crashed      | Total Steps:   6456 |
| Episode   92 | Duration:   89 steps | Reward:    -109.63 | Crashed      | Total Steps:   6545 |
| Episode   93 | Duration:   75 steps | Reward:    -162.95 | Crashed      | Total Steps:   6620 |
| Episode   94 | Duration:   62 steps | Reward:    -146.36 | Crashed      | Total Steps:   6682 |
| Episode   95 | Duration:   83 steps | Reward:    -140.44 | Crashed      | Total Steps:   6765 |
| Episode   96 | Duration:   56 steps | Reward:     -95.29 | Stabilizing  | Total Steps:   6821 |
| Episode   97 | Duration:   54 steps | Reward:     -97.89 | Stabilizing  | Total Steps:   6875 |
| Episode   98 | Duration:   91 steps | Reward:    -131.23 | Crashed      | Total Steps:   6966 |
| Episode   99 | Duration:   83 steps | Reward:    -126.18 | Crashed      | Total Steps:   7049 |
| Episode  100 | Duration:   86 steps | Reward:    -168.28 | Crashed      | Total Steps:   7135 |
Saved plots: lunar_lander3_rewards_trend_20260309_002732.png, lunar_lander3_rewards_histogram_20260309_002732.png
